CLASS / SESSION,TYPE,TRAINER,DURATION (hour),DURATION (min),PAX (max),DESCRIPTION,FEE,OTHER COSTS,ADDITIONAL DETAILS,CONTACT,FOLDER LINK
POUND - Rockout. Workout.,Workout,Cass Salandanan,1,,20,"Instead of listening to music, you become the music in this exhilarating full-body workout that combines cardio, conditioning, and strength training with yoga and pilates-inspired movements. Using Ripstix, lightly weighted drumsticks engineered specifically for exercising, POUND transforms drumming into an incredibly effective way of working out.

Designed for all fitness levels, POUND provides the perfect atmosphere for letting loose, getting energized, toning up and rockin' out! The workout is easily modifiable and the alternative vibe and welcoming philosophy appeals to rockstars of all ages and abilities.","5,000PHP for 1 class, 3,500PHP (minimum 5 classes) Makati/BGC",P500 Transportation for other areas than Makati/BGC,,,
POUND Unplugged,Workout,Cass Salandanan,1,,20,"POUND Unplugged is a 30-minute class that balances focused, high- Intensity movements with restorative stretches, rhythmic breathing and meditation.

Using Ripstix, exercise drumsticks, the workout guides participants through a deeply intentional, rhythmic journey designed to promote the health and fitness of the whole person mental, physical, and emotional.

Quick, efficient, and challenging, POUND Unplugged connects mind, body, and sound to create immersive, sensory experiences, unlike anything you've experienced in a group fitness class.","5,000PHP for 1 class, 3,500PHP (minimum 5 classes) Makati/BGC",,,,
Generation POUND,Workout,Cass Salandanan,1,,15,"GENERATION POUND is a youth-oriented program that fuses movement and music to improve focus, coordination, physical fitness and teamwork skills. Kids ages 6-12 (""Rockstars in Training) will learn alternative ways to explore movement, embrace their creativity and ROCK OUT ultimately building strength, confidence and self- awareness.

The power of Generation POUND encompasses more than just physical fitness. Combining kid-friendly choreography and group activities, it promotes social and emotional well-being by fostering relationships, building self-esteem and self-awareness, and inspiring the next generation of happy, healthy kids.®","5,000PHP for 1 class, 3,500PHP (minimum 5 classes) Makati/BGC",,,,
Functional Training,Workout,Cass Salandanan,1,,25,,"5,000PHP for 1 class, 3,500PHP (minimum 5 classes) Makati/BGC",,,,
HIIT,Workout,Cass Salandanan,1,,25,,"5,000PHP for 1 class, 3,500PHP (minimum 5 classes) Makati/BGC",,,,
LIIT,Workout,Cass Salandanan,1,,25,,"5,000PHP for 1 class, 3,500PHP (minimum 5 classes) Makati/BGC",,,,
EMS ,Workout,NextGen Fitness,,20,3,"Revolutionize your workout with our cutting-edge Electrical Muscle Stimulation (EMS) technology! Experience a full-body workout in just 20 minutes, equivalent to hours at the gym. Our personalized training sessions target multiple muscle groups simultaneously, maximizing your results and saving you time. Whether you're looking to build strength, lose weight, or improve overall fitness, our EMS technology can help you achieve your goals faster and more efficiently. ","PER PERSON: Trial Session: 1200 php      
1 session: 2900 php
5 sessions : 2700 php x 5
10 Sessions. 2500 php x 10
",Transportation included: Makati/BGC,,,
Finger Hold Meditation,Workshop,HEALurWAY: Celine Veloso,,,20,"Finger Holds Meditation, is a Japanese practice that involves holding each finger to balance emotional and physical health. Each finger is associated with specific emotions and organ systems. The practice is believed to help release stress and restore harmony in the body.",,,,,
The Science of Reiki: Enhancing Wellness and Performance through Natural Healing,Workshop,HEALurWAY: Darleen Turda,,,20,"The Science of Reiki: Enhancing Wellness and Performance through Natural Healing explores the intersection of ancient healing practices and modern science. This enlightening talk delves into the scientific principles behind Reiki, demonstrating how it can enhance overall wellness and improve performance. Attendees will learn about the physiological and psychological benefits of Reiki, supported by research and case studies. The discussion will also cover practical applications and techniques for integrating Reiki into daily life for stress reduction, energy balancing, and enhanced mental clarity.",,,,,
Tibetan Singing Bowls Sound Bath,Meditation ,HEALurWAY: Kimpoy Velasco,,,20,"A Tibetan Singing Bowls Sound Bath is a meditative experience where participants are immersed in the soothing sounds and vibrations of Tibetan singing bowls. These bowls, made from a blend of metals, produce harmonious tones that promote deep relaxation, reduce stress, and enhance meditation. The sound bath helps balance the body's energy centers, supporting both physical and emotional healing.",,,,,
Agewell Pilates,Workout,Dynamic Duo ,,,20,"Agewell Pilates: Age Gracefully, Move Joyfully

Specifically designed for older adults facing lifestyle changes, Agewell Pilates helps rebuild strength, improve balance and mobility, and boost confidence. Our gentle yet effective program is tailored to your needs, addressing the risks of falls, injuries, and loss of independence.

Rediscover the joy of movement, improve your quality of life, and age gracefully with Agewell Pilates.",,,,,
Functional Training for Active Aging,Workout,Dynamic Duo ,,,20,"Functional Training for Active Aging: Age Strong, Live Well.

Embrace a vibrant and fulfilling lifestyle with Functional Training for Active Aging. Our specialized program focuses on enhancing your everyday movements, helping you maintain independence and enjoy an active life.

Through carefully designed exercises, we target strength, balance, coordination, and flexibility – essential elements for navigating daily tasks with ease and confidence. Whether it's carrying groceries, climbing stairs, or playing with grandchildren, our training empowers you to move freely and actively.

Join us and experience the transformative power of functional fitness, tailored specifically for older adults. Age strong, live well.",,,,,
Mobility Training,Workout,Dynamic Duo ,,,20,"Mobility Training: Move with Ease, Live without Limits.

Whether you're an athlete seeking peak performance, an older adult looking to maintain independence, or simply someone wanting to feel better in their body, Mobility Training can help. Through targeted exercises, we'll improve your flexibility, range of motion, and overall physical function.

Reduce pain, improve posture, and unlock your full potential. Experience the freedom of movement and live life to the fullest with Mobility Training.",,,,,
Foam Rolling,Workout,Dynamic Duo ,,,20,"Foam Rolling: Unleash Your Body's Potential

Whether you're an athlete seeking peak performance, someone struggling with muscle pain, or simply looking to prioritize self-care, foam rolling is your key to feeling and moving better.

Through targeted self-massage, foam rolling helps:

Reduce muscle soreness and tension
Improve flexibility and range of motion
Enhance recovery after workouts
Boost circulation
Prevent injuries
Roll away the stress, unlock your full potential, and experience the transformative power of foam rolling.",,,,,
"Pilates Sculpt: Mat, Reformer, Chair, Cadillac, Barrel",Workout,Dynamic Duo ,,,20,"Pilates: Sculpt, Strengthen, and Transform

Experience the full spectrum of Pilates exercise with our comprehensive program. From foundational mat work to the dynamic challenges of the Reformer, Chair, Cadillac, and Barrel, our classes cater to all levels and goals.

Build core strength, improve posture, increase flexibility, and cultivate a sense of mindful movement as you sculpt a stronger, more balanced you.",,,,,
"Pilates: BOSU, Stabily Ball, Foam Roller",Workout,Dynamic Duo ,,,,"Pilates: Reimagine Your Workout, Redefine Your Body. Take your Pilates practice to new heights with the BOSU, Stability Ball, and Foam Roller. Deepen your core engagement, improve stability, release muscle tension, and experience a full-body transformation. Challenge yourself, have fun, & achieve a stronger, more balanced you!",,,,,
Pilates: Toning Ball and Flexband,Workout,Dynamic Duo ,,,,,,,,,
Athletic Pilates,Workout,Dynamic Duo ,,,,"Athletic Pilates: Power Up Your Performance

Elevate your athleticism and unlock your full potential with Athletic Pilates. This dynamic program blends traditional Pilates principles with sports-specific movements, challenging your strength, flexibility, and coordination to enhance your performance in any sport or activity.

Whether you're a seasoned athlete or a weekend warrior, Athletic Pilates will:

Build a strong core and improve overall stability
Increase power and agility
Enhance flexibility and range of motion
Improve body awareness and control
Prevent injuries and aid in rehabilitation
Experience the difference Athletic Pilates can make in your game. Take your training to the next level and unleash your inner athlete!
",,,,,
Prenatal and Postnatal Pilates,Workout,Dynamic Duo ,,,,"Prenatal & Postnatal Pilates: Nurture Your Body, Empower Your Journey

Experience the transformative power of Pilates during pregnancy and postpartum. Our specialized classes provide a safe and supportive environment to help you maintain strength, flexibility, and core connection throughout your motherhood journey.

Prenatal Pilates: Prepare your body for childbirth, ease pregnancy discomfort, and improve posture.
Postnatal Pilates: Rebuild core strength, regain pelvic floor function, and safely return to exercise after childbirth.
Our certified instructors guide you through gentle yet effective exercises, tailored to your individual needs and stage of pregnancy or postpartum recovery. Embrace mindful movement, build confidence, and nurture your body as you embark on this incredible chapter of your life.",,,,,
Tropixx,Dance,Dynamic Duo ,,,,,,,,,
Zumba,Dance,Dynamic Duo ,,,,,,,,,
Zumba for Kids,Dance,Dynamic Duo ,,,,,,,,,
HIIT: 1RM,Workout,Dynamic Duo ,,,,,,,,,
HIIT: OhSh**t,Workout,Dynamic Duo ,,,,,,,,,
HIIT: Power Play,Workout,Dynamic Duo ,,,,,,,,,
Conditioning Program:,Workout,Dynamic Duo ,,,,,,,,,
Ass If,Workout,Dynamic Duo ,,,,,,,,,
Wishful Shrinking,Workout,Dynamic Duo ,,,,,,,,,
Ripp3d,Workout,Dynamic Duo ,,,,,,,,,
Equipment Based:,Workout,Dynamic Duo ,,,,,,,,,
TRX,Workout,Dynamic Duo ,,,,,,,,,
BOSU,Workout,Dynamic Duo ,,,,,,,,,
Foam Rolling,Workout,Dynamic Duo ,,,,,,,,,
Flexband,Workout,Dynamic Duo ,,,,,,,,,
Stability Ball,Workout,Dynamic Duo ,,,,,,,,,
Barbell Class,Workout,Dynamic Duo ,,,,,,,,,
Boxercise,Workout,Dynamic Duo ,,,,,,,,,
MMA Fitness,Workout,Dynamic Duo ,,,,,,,,,
HOW HEALTHY ARE YOU?,Talk + Exercises,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"Know Your Total Health Quotient. 45-min talk, 15-min bio-mechanical exercises.","PHP 5,600 / pax",,,,
How to Beat Your Stress and Fatigue Fast,Talk + Exercises,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"15-min talk, 45-min bio-mechanical exercises, breathing techniques, and healing meditation.","PHP 5,600 / pax",,,,
5 KEY AREAS OF LIFE,Talk + Exercises,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"That You Need to Develop and Balance. 45-min talk, 15-min exercises + breathing techniques.","PHP 5,600 / pax",,,,
"Heal Your Past, Transform Your Present, and Empower Your Bright Future",Exercises + Techniques,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"1 hour of exercises, breathing techniques, healing meditation, and energy healing.","PHP 5,600 / pax",,,,
YOUR MATERIAL AND SPIRITUAL WING,Talk + Exercises,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,How Balanced Are Your 2 Wings? 30-min talk + 30-min exercises + healing meditation.,"PHP 5,600 / pax",,,,
"Heal Your Past, Transform Your Present, and Empower Your Bright Future",Exercises + Techniques,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"1 hour of exercises, breathing techniques,
healing meditation, and energy healing","PHP 5,600 / pax",,,,
YOUR TRIANGLE OF SUCCESS & FULFILLMENT,Talk + Exercises,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"How to Be a More Effective Leader or Team Member. 40-min talk, 20-min will-power exercises + meditation.","PHP 5,600 / pax",,,,
"Heal Your Past, Transform Your Present, and Empower Your Bright Future",Exercises + Techniques,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"1 hour of exercises, breathing techniques,
healing meditation, and energy healing","PHP 5,600 / pax",,,,
7 REASONS WHY PEOPLE LIVE LONG,Talk + Meditation,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"How to Live a Longer & More Meaningful Life. 40-min talk, 20-min alignment meditation.","PHP 5,600 / pax",,,,
"Heal Your Past, Transform Your Present, and Empower Your Bright Future",Exercises + Techniques,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"1 hour of exercises, breathing techniques,
healing meditation, and energy healing","PHP 5,600 / pax",,,,
SWOT Analysis to Create Breakthroughs in Your Life,Talk + Exercises,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"SWOT analysis to create breakthroughs in your life. 45-min talk with practical application, 15-min will-power exercises.","PHP 5,600 / pax",,,,
"Heal Your Past, Transform Your Present, and Empower Your Bright Future",Exercises + Techniques,"Lesley Geronimo, WILGA - Wisdom Institute for Leadership and Global Advancement",1,,15,"1 hour of exercises, breathing techniques,
healing meditation, and energy healing","PHP 5,600 / pax",,,,
7 Cycles of Life Workshop,Workshop,"Master Del Pe, WILGA - Wisdom Institute for Leadership and Global Advancement",4,,10,Know the Best Times to Do the Best Things. Understand the universal laws of timing to commit less mistakes and have more success in both personal and professional goals.,"PHP 12,500 / pax",,,,
Will-Power Development Made Easy (Part 1),Workshop,"Master Del Pe, WILGA - Wisdom Institute for Leadership and Global Advancement",5,,10,Learn about the nature of will-power and understand its relationship with your behavior and personal performance. Explore how will-power can help you overcome obstacles and crisis in life.,"PHP 5,600 / pax",,,,
8 Types of Leaders Every Leader Should Know,Workshop,"Master Del Pe, WILGA - Wisdom Institute for Leadership and Global Advancement",7,,10,"Understand the 8 types of leaders, their strengths, weaknesses, & lessons to learn. Discover which type you are & learn how you can maximize your leadership effectiveness & harmonize better w/ others.","PHP 12,500 / pax",,,,
ANIMAL FLOW,Workout,Fai Tabusalla,1,,20-30,"Ground-based, bodyweight, mobility and strength training made fun! Learn Animal movements to improve flexibility, coordination, and posture. This class is beginner friendly and open to all fitness levels.","PHP 12,000 per session / Not incl. transport fee",,,,
ROPE FLOW,Workout,Fai Tabusalla,1,,20-30,"Rope Flow is the newest mindful movement practice using a specially-designed “flow rope” to improve core strength, joint mobility, spinal fluidity, cardiorespiratory conditioning, and coordination. It is movement meditation made understandable and fun that allows you to reach ""flow state"". Rope Flow allows you to connect with your body while calming the mind. It is easily adaptable to a wide range of age groups and fitness levels.","PHP 12,000 per session / Not incl. transport fee",,,,
GUIDED BREATHWORK MEDITATION,Meditation ,Fai Tabusalla,,15-30,20-30,"Introducing functional breathing techniques to help participants breathe better and feel better. A 15-30minute guided experience to calm the mind, manage stress levels, and boost mental clarity.","PHP 7,000 per session / Not incl. transport fee",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Add-on Services,,,,,,,,,,,
B Coffee,,,,,,,,,,,
360 Meals,,,,,,,,,,,
,,,,,,,,,,,
Spartans ,,,,,,,,,,,
Fitness First,,,,,,,,,,,
Kerry Sports ,,,,,,,,,,,
Co Fitness,,,,,,,,,,,
